EPI ID,Year,Number of Glycosylation Sites,EPI_ISL
EPI221918,2007,9,EPI_ISL_63488
EPI222002,2007,9,EPI_ISL_63498
EPI499480,2009,9,EPI_ISL_153622
EPI499481,2011,9,EPI_ISL_153623
EPI499479,2010,9,EPI_ISL_153621
EPI164205,2007,9,EPI_ISL_24600
EPI499482,2010,9,EPI_ISL_153624
EPI164216,2005,9,EPI_ISL_24603
EPI499483,2010,9,EPI_ISL_153625
EPI164224,2006,9,EPI_ISL_24604
EPI164232,2006,9,EPI_ISL_24605
EPI164240,2005,9,EPI_ISL_24606
EPI597677,2005,9,EPI_ISL_181276
EPI164250,2005,9,EPI_ISL_24607
EPI2528164,2023,0,EPI_ISL_17527083
EPI164258,2005,9,EPI_ISL_24608
EPI164266,2005,9,EPI_ISL_24609
EPI222148,2007,9,EPI_ISL_63521
EPI164277,2006,9,EPI_ISL_24610
EPI164285,2006,9,EPI_ISL_24611
EPI286380,2007,5,EPI_ISL_80933
EPI286379,2007,5,EPI_ISL_80932
EPI164301,2006,8,EPI_ISL_24613
EPI164309,2006,9,EPI_ISL_24614
EPI286382,2007,9,EPI_ISL_80935
EPI167617,2007,9,EPI_ISL_25639
EPI286381,2007,9,EPI_ISL_80934
EPI164317,2006,9,EPI_ISL_24615
EPI164325,2006,9,EPI_ISL_24616
EPI286383,2007,9,EPI_ISL_80936
EPI167633,2007,9,EPI_ISL_25641
EPI164333,2006,9,EPI_ISL_24617
EPI164341,2006,9,EPI_ISL_24618
EPI164349,2006,9,EPI_ISL_24619
EPI164357,2006,9,EPI_ISL_24620
EPI164365,2006,9,EPI_ISL_24621
EPI286389,2007,9,EPI_ISL_80942
EPI164381,2006,9,EPI_ISL_24623
EPI167687,2007,9,EPI_ISL_25648
EPI167694,2007,9,EPI_ISL_25649
EPI167702,2007,9,EPI_ISL_25650
EPI167708,2007,9,EPI_ISL_25651
EPI167714,2007,9,EPI_ISL_25652
EPI167722,2007,9,EPI_ISL_25653
EPI383240,2007,8,EPI_ISL_123959
EPI167730,2007,9,EPI_ISL_25654
EPI123794,2006,9,EPI_ISL_13367
EPI167737,2007,9,EPI_ISL_25655
EPI123796,2006,9,EPI_ISL_13368
EPI167743,2007,9,EPI_ISL_25656
EPI123798,2006,9,EPI_ISL_13369
EPI167751,2007,8,EPI_ISL_25657
EPI123800,2006,9,EPI_ISL_13370
EPI383260,2007,8,EPI_ISL_123962
EPI105404,2005,9,EPI_ISL_10302
EPI333197,2008,9,EPI_ISL_95301
EPI476972,2010,8,EPI_ISL_148554
EPI476973,2010,9,EPI_ISL_148555
EPI167858,2007,9,EPI_ISL_25676
EPI1892852,2010,9,EPI_ISL_4055148
EPI167953,2007,9,EPI_ISL_25688
EPI105547,2006,5,EPI_ISL_10332
EPI460112,2008,9,EPI_ISL_143457
EPI168064,2008,9,EPI_ISL_25702
EPI532495,2013,1,EPI_ISL_162927
EPI532498,2013,1,EPI_ISL_162930
EPI222568,2007,9,EPI_ISL_63600
EPI97209,Unknown,9,EPI_ISL_9329
EPI222584,2007,9,EPI_ISL_63602
EPI153471,2008,9,EPI_ISL_19571
EPI532497,2013,1,EPI_ISL_162929
EPI164542,2007,9,EPI_ISL_24693
EPI164550,2007,9,EPI_ISL_24694
EPI164558,2007,9,EPI_ISL_24695
EPI164566,2007,9,EPI_ISL_24696
EPI164574,2007,9,EPI_ISL_24697
EPI286615,2007,9,EPI_ISL_81016
EPI328886,2008,9,EPI_ISL_94331
EPI328894,2009,9,EPI_ISL_94332
EPI492324,2007,9,EPI_ISL_151694
EPI492325,2008,9,EPI_ISL_151695
EPI492328,2010,9,EPI_ISL_151698
EPI492326,2011,9,EPI_ISL_151696
EPI492327,2010,9,EPI_ISL_151697
EPI115053,2006,9,EPI_ISL_11414
EPI463680,2009,9,EPI_ISL_144532
EPI106026,2006,9,EPI_ISL_10391
EPI115055,2007,9,EPI_ISL_11415
EPI620814,2007,9,EPI_ISL_190622
EPI275726,2007,8,EPI_ISL_77982
EPI275742,2008,9,EPI_ISL_77984
EPI275766,2009,9,EPI_ISL_77987
EPI1517056,2011,9,EPI_ISL_369825
EPI275774,2005,9,EPI_ISL_77988
EPI106235,2006,8,EPI_ISL_10411
EPI106239,2006,8,EPI_ISL_10412
EPI275838,2009,9,EPI_ISL_77996
EPI106243,2006,9,EPI_ISL_10413
EPI275878,2008,10,EPI_ISL_78001
EPI275870,2005,9,EPI_ISL_78000
EPI275958,Unknown,9,EPI_ISL_78011
EPI275966,2005,9,EPI_ISL_78012
EPI275990,2007,9,EPI_ISL_78015
EPI275982,2005,9,EPI_ISL_78014
EPI275998,2006,9,EPI_ISL_78016
EPI276022,2005,9,EPI_ISL_78019
EPI276030,2006,9,EPI_ISL_78020
EPI276046,2005,9,EPI_ISL_78022
EPI276070,2006,9,EPI_ISL_78025
EPI406336,2007,9,EPI_ISL_132299
EPI406344,2007,9,EPI_ISL_132300
EPI406352,2007,9,EPI_ISL_132301
EPI406392,2007,9,EPI_ISL_132306
EPI406376,2007,9,EPI_ISL_132304
EPI406406,2007,9,EPI_ISL_132308
EPI406441,2007,9,EPI_ISL_132312
EPI222873,2008,9,EPI_ISL_63711
EPI219345,2009,9,EPI_ISL_62730
EPI1536787,2013,10,EPI_ISL_376086
EPI764411,2005,9,EPI_ISL_222486
EPI242472,2006,9,EPI_ISL_69933
EPI227010,2005,9,EPI_ISL_64835
EPI433309,2008,9,EPI_ISL_137553
EPI361516,2006,9,EPI_ISL_109927
EPI439068,2006,9,EPI_ISL_138602
EPI160444,2007,9,EPI_ISL_22893
EPI160452,2007,9,EPI_ISL_22894
EPI824042,2012,1,EPI_ISL_231796
EPI227293,2005,9,EPI_ISL_64892
EPI227309,2005,9,EPI_ISL_64894
EPI272180,2007,4,EPI_ISL_77193
EPI272182,2009,4,EPI_ISL_77195
EPI168655,2007,9,EPI_ISL_25994
EPI573523,2005,9,EPI_ISL_174482
EPI107965,2006,8,EPI_ISL_10650
EPI107967,2006,9,EPI_ISL_10651
EPI107969,2006,9,EPI_ISL_10652
EPI107971,2006,9,EPI_ISL_10653
EPI107973,2006,9,EPI_ISL_10654
EPI107975,2006,9,EPI_ISL_10655
EPI107977,2006,9,EPI_ISL_10656
EPI107979,2006,9,EPI_ISL_10657
EPI107981,2006,9,EPI_ISL_10658
EPI107951,2006,9,EPI_ISL_10659
EPI107953,2006,8,EPI_ISL_10660
EPI107955,2006,6,EPI_ISL_10661
EPI107957,2006,8,EPI_ISL_10662
EPI107959,2006,8,EPI_ISL_10663
EPI107961,2006,8,EPI_ISL_10664
EPI593748,2010,9,EPI_ISL_180650
EPI107963,2006,9,EPI_ISL_10665
EPI593749,2010,9,EPI_ISL_180651
EPI593752,2010,9,EPI_ISL_180654
EPI366418,2010,5,EPI_ISL_115119
EPI593750,2010,9,EPI_ISL_180652
EPI366417,2010,4,EPI_ISL_115118
EPI593751,2011,9,EPI_ISL_180653
EPI593756,2011,9,EPI_ISL_180658
EPI593757,2012,11,EPI_ISL_180659
EPI366419,2010,5,EPI_ISL_115120
EPI366421,2010,5,EPI_ISL_115122
EPI593755,2011,9,EPI_ISL_180657
EPI593758,2010,9,EPI_ISL_180660
EPI107739,2005,9,EPI_ISL_10679
EPI107741,2005,9,EPI_ISL_10680
EPI107743,2005,9,EPI_ISL_10681
EPI107747,2005,9,EPI_ISL_10682
EPI107749,2005,8,EPI_ISL_10683
EPI107751,2005,9,EPI_ISL_10684
EPI107753,2005,9,EPI_ISL_10685
EPI366426,2010,5,EPI_ISL_115135
EPI107755,2005,9,EPI_ISL_10686
EPI107757,2005,8,EPI_ISL_10687
EPI366425,2010,5,EPI_ISL_115134
EPI107759,2005,9,EPI_ISL_10688
EPI2257910,2022,0,EPI_ISL_16215351
EPI107765,2006,9,EPI_ISL_10689
EPI107767,2006,8,EPI_ISL_10690
EPI107769,2006,9,EPI_ISL_10691
EPI107773,2006,9,EPI_ISL_10692
EPI107775,2006,9,EPI_ISL_10693
EPI107777,2006,9,EPI_ISL_10694
EPI107779,2006,9,EPI_ISL_10695
EPI107781,2006,9,EPI_ISL_10696
EPI107799,2005,9,EPI_ISL_10697
EPI107805,2005,8,EPI_ISL_10698
EPI107807,2006,8,EPI_ISL_10699
EPI107809,2006,9,EPI_ISL_10700
EPI107815,2006,9,EPI_ISL_10701
EPI107817,2006,5,EPI_ISL_10702
EPI107833,2005,9,EPI_ISL_10703
EPI107835,2005,9,EPI_ISL_10704
EPI107839,2006,9,EPI_ISL_10705
EPI107847,2006,8,EPI_ISL_10706
EPI107849,2006,9,EPI_ISL_10707
EPI107851,2006,9,EPI_ISL_10708
EPI107853,2006,8,EPI_ISL_10709
EPI107855,2005,9,EPI_ISL_10710
EPI107857,2005,9,EPI_ISL_10711
EPI107859,2005,5,EPI_ISL_10712
EPI107861,2006,9,EPI_ISL_10713
EPI107863,2006,9,EPI_ISL_10714
EPI107865,2006,9,EPI_ISL_10715
EPI107867,2006,8,EPI_ISL_10716
EPI107919,2005,9,EPI_ISL_10717
EPI107921,2005,9,EPI_ISL_10718
EPI107923,2005,9,EPI_ISL_10719
EPI107925,2005,9,EPI_ISL_10720
EPI107927,2005,9,EPI_ISL_10721
EPI107929,2005,8,EPI_ISL_10722
EPI107931,2005,8,EPI_ISL_10723
EPI107933,2005,9,EPI_ISL_10724
EPI107935,2005,9,EPI_ISL_10725
EPI107937,2005,9,EPI_ISL_10726
EPI107939,2005,8,EPI_ISL_10727
EPI1892898,2010,9,EPI_ISL_4055514
EPI107943,2006,9,EPI_ISL_10728
EPI107945,2006,8,EPI_ISL_10729
EPI107947,2006,8,EPI_ISL_10730
EPI107949,2006,5,EPI_ISL_10731
EPI107771,2006,9,EPI_ISL_10732
EPI108515,2006,9,EPI_ISL_10733
EPI108509,2006,9,EPI_ISL_10734
EPI174641,2006,9,EPI_ISL_29174
EPI174642,2007,9,EPI_ISL_29175
EPI174643,2006,9,EPI_ISL_29176
EPI174644,2006,9,EPI_ISL_29177
EPI174645,2006,9,EPI_ISL_29178
EPI174646,2006,9,EPI_ISL_29179
EPI174647,2007,9,EPI_ISL_29180
EPI174648,1930,9,EPI_ISL_29181
EPI174649,1964,9,EPI_ISL_29182
EPI174650,1994,10,EPI_ISL_29183
EPI174651,2007,9,EPI_ISL_29184
EPI174652,2007,8,EPI_ISL_29185
EPI174653,2007,9,EPI_ISL_29186
EPI174654,2006,9,EPI_ISL_29187
EPI174655,2006,10,EPI_ISL_29188
EPI174656,2006,9,EPI_ISL_29189
EPI107801,2005,9,EPI_ISL_10762
EPI107803,2005,9,EPI_ISL_10763
EPI108087,2005,5,EPI_ISL_10773
EPI108097,2005,5,EPI_ISL_10774
EPI108223,2005,5,EPI_ISL_10775
EPI108227,2005,5,EPI_ISL_10776
EPI108247,2006,5,EPI_ISL_10777
EPI108251,2006,5,EPI_ISL_10778
EPI108257,2006,5,EPI_ISL_10779
EPI108267,2006,5,EPI_ISL_10780
EPI108273,2006,5,EPI_ISL_10781
EPI108285,2006,5,EPI_ISL_10782
EPI108317,2006,5,EPI_ISL_10783
EPI108319,2006,5,EPI_ISL_10784
EPI653115,2012,9,EPI_ISL_198176
EPI108343,2006,9,EPI_ISL_10790
EPI108341,2006,9,EPI_ISL_10791
EPI108337,2006,9,EPI_ISL_10792
EPI108335,2006,9,EPI_ISL_10793
EPI108339,2006,7,EPI_ISL_10794
EPI108331,2006,9,EPI_ISL_10795
EPI108327,2006,9,EPI_ISL_10796
EPI108329,2006,9,EPI_ISL_10797
EPI108333,1951,9,EPI_ISL_10798
EPI108325,2006,8,EPI_ISL_10799
EPI107941,2005,9,EPI_ISL_10800
EPI107761,2006,8,EPI_ISL_10802
EPI107821,2006,8,EPI_ISL_10804
EPI107827,2006,8,EPI_ISL_10807
EPI107829,2006,9,EPI_ISL_10808
EPI107831,2006,9,EPI_ISL_10809
EPI107899,2005,8,EPI_ISL_10810
EPI107909,2006,9,EPI_ISL_10812
EPI107911,2006,8,EPI_ISL_10813
EPI107913,2006,9,EPI_ISL_10814
EPI107915,2006,9,EPI_ISL_10815
EPI107917,2006,9,EPI_ISL_10816
EPI220530,2008,9,EPI_ISL_63044
EPI107993,2005,5,EPI_ISL_10822
EPI126685,2006,9,EPI_ISL_13895
EPI107999,2005,5,EPI_ISL_10825
EPI108001,2005,5,EPI_ISL_10826
EPI108003,2005,5,EPI_ISL_10827
EPI108005,2005,5,EPI_ISL_10828
EPI108007,2005,5,EPI_ISL_10829
EPI108009,2005,5,EPI_ISL_10830
EPI108011,2005,5,EPI_ISL_10831
EPI279949,2006,9,EPI_ISL_73294
EPI108013,2005,4,EPI_ISL_10832
EPI224609,2006,9,EPI_ISL_64081
EPI108015,2005,5,EPI_ISL_10833
EPI108017,2005,5,EPI_ISL_10834
EPI280025,2006,9,EPI_ISL_73299
EPI280018,2006,9,EPI_ISL_73298
EPI108019,2005,5,EPI_ISL_10835
EPI108021,2005,5,EPI_ISL_10836
EPI108023,2005,5,EPI_ISL_10837
EPI280046,2008,8,EPI_ISL_73303
EPI108025,2005,5,EPI_ISL_10838
EPI280039,2007,9,EPI_ISL_73302
EPI108027,2006,5,EPI_ISL_10839
EPI108029,2006,5,EPI_ISL_10840
EPI337959,2005,9,EPI_ISL_73304
EPI108031,2006,5,EPI_ISL_10841
EPI108033,2006,5,EPI_ISL_10842
EPI108035,2006,5,EPI_ISL_10843
EPI280060,2008,9,EPI_ISL_73306
EPI108037,2006,5,EPI_ISL_10844
EPI108039,2006,5,EPI_ISL_10845
EPI108045,2005,5,EPI_ISL_10848
EPI280074,2009,9,EPI_ISL_73313
EPI280067,2009,9,EPI_ISL_73312
EPI108055,2005,5,EPI_ISL_10853
EPI108059,2005,5,EPI_ISL_10855
EPI337076,2006,9,EPI_ISL_96873
EPI280032,2006,9,EPI_ISL_73320
EPI108065,2005,5,EPI_ISL_10858
EPI337114,2006,9,EPI_ISL_96879
EPI337107,2006,9,EPI_ISL_96878
EPI108075,2005,5,EPI_ISL_10863
EPI337128,2006,9,EPI_ISL_96881
EPI337121,2006,9,EPI_ISL_96880
EPI439897,2005,9,EPI_ISL_138867
EPI108081,2005,5,EPI_ISL_10866
EPI337141,2006,9,EPI_ISL_96883
EPI337154,2007,9,EPI_ISL_96885
EPI439901,2007,9,EPI_ISL_138871
EPI337161,2008,8,EPI_ISL_96886
EPI108093,2005,5,EPI_ISL_10871
EPI439899,2008,9,EPI_ISL_138869
EPI108095,2005,5,EPI_ISL_10872
EPI337182,2009,9,EPI_ISL_96889
EPI337175,2008,9,EPI_ISL_96888
EPI337189,2009,9,EPI_ISL_96890
EPI108109,2006,3,EPI_ISL_10876
EPI337203,2009,9,EPI_ISL_96892
EPI108115,2006,5,EPI_ISL_10879
EPI337239,2009,9,EPI_ISL_96897
EPI108119,2006,3,EPI_ISL_10881
EPI337255,2009,9,EPI_ISL_96899
EPI337247,2009,9,EPI_ISL_96898
EPI108123,2005,5,EPI_ISL_10883
EPI108125,2005,5,EPI_ISL_10884
EPI337263,2009,9,EPI_ISL_96900
EPI108129,2006,3,EPI_ISL_10886
EPI108133,2005,5,EPI_ISL_10887
EPI337303,2009,9,EPI_ISL_96905
EPI108135,2005,3,EPI_ISL_10888
EPI108137,2005,5,EPI_ISL_10889
EPI337318,2009,9,EPI_ISL_96907
EPI108139,2005,5,EPI_ISL_10890
EPI337311,2009,10,EPI_ISL_96906
EPI108141,2005,5,EPI_ISL_10891
EPI108143,2005,3,EPI_ISL_10892
EPI108145,2005,5,EPI_ISL_10893
EPI108147,2006,5,EPI_ISL_10894
EPI108149,2006,5,EPI_ISL_10895
EPI108151,2006,5,EPI_ISL_10896
EPI108153,2006,5,EPI_ISL_10897
EPI108155,2006,5,EPI_ISL_10898
EPI108157,2006,5,EPI_ISL_10899
EPI108159,2006,4,EPI_ISL_10900
EPI108161,2006,3,EPI_ISL_10901
EPI127384,2005,9,EPI_ISL_13988
EPI127406,2005,9,EPI_ISL_13989
EPI108213,2006,5,EPI_ISL_10926
EPI108215,2006,5,EPI_ISL_10927
EPI108217,2005,5,EPI_ISL_10928
EPI108219,2005,5,EPI_ISL_10929
EPI108221,2005,5,EPI_ISL_10930
EPI108225,2005,5,EPI_ISL_10931
EPI108229,2005,5,EPI_ISL_10932
EPI108231,2006,5,EPI_ISL_10933
EPI108233,2006,5,EPI_ISL_10934
EPI108235,2006,5,EPI_ISL_10935
EPI108237,2006,5,EPI_ISL_10936
EPI108241,2006,5,EPI_ISL_10938
EPI108243,2006,5,EPI_ISL_10939
EPI108245,2006,5,EPI_ISL_10940
EPI175650,2006,8,EPI_ISL_29372
EPI108249,2006,5,EPI_ISL_10941
EPI108253,2006,5,EPI_ISL_10942
EPI108255,2006,5,EPI_ISL_10943
EPI108259,2006,5,EPI_ISL_10944
EPI108261,2006,5,EPI_ISL_10945
EPI108265,2006,5,EPI_ISL_10946
EPI170591,2005,9,EPI_ISL_27331
EPI108269,2006,5,EPI_ISL_10947
EPI170599,2005,9,EPI_ISL_27332
EPI108271,2006,5,EPI_ISL_10948
EPI170607,2005,9,EPI_ISL_27333
EPI108275,2006,5,EPI_ISL_10949
EPI108277,2006,5,EPI_ISL_10950
EPI170615,2005,9,EPI_ISL_27334
EPI170742,2005,9,EPI_ISL_27335
EPI108279,2006,5,EPI_ISL_10951
EPI108281,2006,5,EPI_ISL_10952
EPI170741,2005,9,EPI_ISL_27336
EPI170740,2005,9,EPI_ISL_27337
EPI108283,2006,5,EPI_ISL_10953
EPI108287,2006,5,EPI_ISL_10954
EPI170739,2005,9,EPI_ISL_27338
EPI108289,2006,5,EPI_ISL_10955
EPI170738,2005,9,EPI_ISL_27339
EPI170658,2005,9,EPI_ISL_27340
EPI108291,2006,5,EPI_ISL_10956
EPI170666,2005,9,EPI_ISL_27341
EPI108293,2006,5,EPI_ISL_10957
EPI108295,2006,5,EPI_ISL_10958
EPI170674,2005,9,EPI_ISL_27342
EPI108297,2006,5,EPI_ISL_10959
EPI170690,2005,9,EPI_ISL_27344
EPI108299,2006,5,EPI_ISL_10960
EPI108301,2006,5,EPI_ISL_10961
EPI108303,2006,5,EPI_ISL_10962
EPI108305,2006,5,EPI_ISL_10963
EPI170714,2005,9,EPI_ISL_27347
EPI108307,2006,5,EPI_ISL_10964
EPI170730,2005,9,EPI_ISL_27349
EPI108309,2006,5,EPI_ISL_10965
EPI108311,2006,5,EPI_ISL_10966
EPI170744,2007,9,EPI_ISL_27351
EPI108313,2006,5,EPI_ISL_10967
EPI108315,2006,5,EPI_ISL_10968
EPI108323,2006,5,EPI_ISL_10970
EPI108345,2006,5,EPI_ISL_10971
EPI108347,1919,5,EPI_ISL_10972
EPI108349,2016,5,EPI_ISL_10973
EPI108351,2006,5,EPI_ISL_10974
EPI108353,1908,5,EPI_ISL_10975
EPI108355,1921,5,EPI_ISL_10976
EPI108357,1925,5,EPI_ISL_10977
EPI108359,2011,5,EPI_ISL_10978
EPI108361,2044,5,EPI_ISL_10979
EPI224777,2006,9,EPI_ISL_64227
EPI108363,2071,5,EPI_ISL_10980
EPI108365,2006,5,EPI_ISL_10981
EPI108367,2006,5,EPI_ISL_10982
EPI108369,2006,5,EPI_ISL_10983
EPI108371,2006,5,EPI_ISL_10984
EPI108373,2006,5,EPI_ISL_10985
EPI108375,2006,5,EPI_ISL_10986
EPI108377,2006,5,EPI_ISL_10987
EPI108379,2006,5,EPI_ISL_10988
EPI108381,2006,5,EPI_ISL_10989
EPI108383,2006,5,EPI_ISL_10990
EPI108385,2006,5,EPI_ISL_10991
EPI108387,2006,5,EPI_ISL_10992
EPI108389,2006,5,EPI_ISL_10993
EPI108391,2006,5,EPI_ISL_10994
EPI108397,2006,5,EPI_ISL_10997
EPI108399,2006,5,EPI_ISL_10998
EPI108401,2006,5,EPI_ISL_10999
EPI108403,2006,5,EPI_ISL_11000
EPI108405,2006,5,EPI_ISL_11001
EPI108407,2006,5,EPI_ISL_11002
EPI108409,2006,5,EPI_ISL_11003
EPI108411,2006,5,EPI_ISL_11004
EPI108413,2006,5,EPI_ISL_11005
EPI108415,2006,5,EPI_ISL_11006
EPI108419,2006,5,EPI_ISL_11008
EPI108421,2006,5,EPI_ISL_11009
EPI108423,2006,5,EPI_ISL_11010
EPI108425,2006,5,EPI_ISL_11011
EPI108427,2006,5,EPI_ISL_11012
EPI108429,2006,5,EPI_ISL_11013
EPI108431,2006,5,EPI_ISL_11014
EPI108433,2006,5,EPI_ISL_11015
EPI108435,2006,5,EPI_ISL_11016
EPI108437,2006,3,EPI_ISL_11017
EPI108439,2006,3,EPI_ISL_11018
EPI108441,2006,3,EPI_ISL_11019
EPI284485,2007,9,EPI_ISL_80650
EPI108443,2006,3,EPI_ISL_11020
EPI108445,2006,3,EPI_ISL_11021
EPI108449,2006,3,EPI_ISL_11023
EPI108451,2006,3,EPI_ISL_11024
EPI108453,2006,3,EPI_ISL_11025
EPI108455,1979,5,EPI_ISL_11026
EPI108457,2020,5,EPI_ISL_11027
EPI108459,2042,5,EPI_ISL_11028
EPI108461,2006,5,EPI_ISL_11029
EPI108463,2006,5,EPI_ISL_11030
EPI108465,2006,5,EPI_ISL_11031
EPI108467,2006,5,EPI_ISL_11032
EPI108469,2006,5,EPI_ISL_11033
EPI108471,2006,5,EPI_ISL_11034
EPI2035809,2007,9,EPI_ISL_12701659
EPI108473,2006,5,EPI_ISL_11035
EPI108475,2006,5,EPI_ISL_11036
EPI108477,2075,5,EPI_ISL_11037
EPI108479,2099,5,EPI_ISL_11038
EPI108481,2006,3,EPI_ISL_11039
EPI408097,2007,9,EPI_ISL_132893
EPI108483,2006,3,EPI_ISL_11040
EPI108485,2006,3,EPI_ISL_11041
EPI108487,2006,3,EPI_ISL_11042
EPI108489,2006,3,EPI_ISL_11043
EPI108491,2006,5,EPI_ISL_11044
EPI108493,2006,5,EPI_ISL_11045
EPI108495,2006,5,EPI_ISL_11046
EPI108499,2006,5,EPI_ISL_11048
EPI108501,2006,5,EPI_ISL_11049
EPI108503,2006,5,EPI_ISL_11050
EPI108505,2006,5,EPI_ISL_11051
EPI108507,2006,5,EPI_ISL_11052
EPI108511,2006,5,EPI_ISL_11053
EPI108513,2006,5,EPI_ISL_11054
EPI224965,2006,9,EPI_ISL_64309
EPI280096,2006,9,EPI_ISL_79677
EPI280112,2006,9,EPI_ISL_79679
EPI280104,2006,9,EPI_ISL_79678
EPI280120,2006,9,EPI_ISL_79680
EPI280144,2007,9,EPI_ISL_79683
EPI280136,2007,8,EPI_ISL_79682
EPI280160,2009,9,EPI_ISL_79685
EPI280152,2007,9,EPI_ISL_79684
EPI180806,2007,9,EPI_ISL_30536
EPI280192,2009,9,EPI_ISL_79689
EPI180812,2007,9,EPI_ISL_30537
EPI180817,2007,9,EPI_ISL_30538
EPI101917,2005,9,EPI_ISL_10058
EPI275378,2005,9,EPI_ISL_10058
EPI280208,2009,9,EPI_ISL_79691
EPI280200,2009,9,EPI_ISL_79690
EPI101919,2005,9,EPI_ISL_10059
EPI275386,2005,9,EPI_ISL_10059
EPI180823,2007,9,EPI_ISL_30539
EPI275462,2005,9,EPI_ISL_10060
EPI180831,2007,9,EPI_ISL_30540
EPI180839,2007,9,EPI_ISL_30541
EPI280216,2009,9,EPI_ISL_79692
EPI180847,2007,9,EPI_ISL_30542
EPI180855,2007,10,EPI_ISL_30543
EPI180863,2007,9,EPI_ISL_30544
EPI280256,2009,9,EPI_ISL_79697
EPI180871,2007,9,EPI_ISL_30545
EPI280272,2009,9,EPI_ISL_79699
EPI180887,2007,9,EPI_ISL_30547
EPI280264,2009,10,EPI_ISL_79698
EPI284557,2008,9,EPI_ISL_80722
EPI180895,2007,9,EPI_ISL_30548
EPI332570,2008,9,EPI_ISL_95061
EPI180903,2008,5,EPI_ISL_30549
EPI180911,2008,5,EPI_ISL_30550
EPI180919,2008,4,EPI_ISL_30551
EPI180927,2008,5,EPI_ISL_30552
EPI180935,2008,5,EPI_ISL_30553
EPI180943,2008,5,EPI_ISL_30554
EPI180951,2006,9,EPI_ISL_30555
EPI180956,2006,9,EPI_ISL_30556
EPI180958,2006,9,EPI_ISL_30557
EPI225081,2006,9,EPI_ISL_64352
EPI109421,2006,9,EPI_ISL_11110
EPI140687,2007,9,EPI_ISL_16239
EPI140695,2007,9,EPI_ISL_16240
EPI140735,2007,9,EPI_ISL_16245
EPI2373146,2010,9,EPI_ISL_16837240
EPI2373154,2010,9,EPI_ISL_16837241
EPI2035714,2007,9,EPI_ISL_12701627
EPI2373162,2010,9,EPI_ISL_16837242
EPI2373170,2010,9,EPI_ISL_16837243
EPI2035711,2007,9,EPI_ISL_12701626
EPI270188,2005,9,EPI_ISL_76674
EPI181296,2006,9,EPI_ISL_30601
EPI181297,2006,9,EPI_ISL_30602
EPI181298,2006,9,EPI_ISL_30603
EPI181299,2005,9,EPI_ISL_30604
EPI181300,2007,8,EPI_ISL_30605
EPI181301,2006,9,EPI_ISL_30606
EPI181302,2005,9,EPI_ISL_30607
EPI2035373,2006,9,EPI_ISL_12700515
EPI2035379,2006,9,EPI_ISL_12700517
EPI2035376,2006,9,EPI_ISL_12700516
EPI78021,2007,9,EPI_ISL_8103
EPI2035382,2006,9,EPI_ISL_12700518
EPI221717,2007,8,EPI_ISL_63435
EPI171211,2007,9,EPI_ISL_27609
EPI171212,2007,9,EPI_ISL_27610
EPI171213,2007,9,EPI_ISL_27611
EPI141271,2007,9,EPI_ISL_16356
EPI141279,2007,9,EPI_ISL_16357
EPI113316,2006,8,EPI_ISL_11263
